"Count","Name"
"32","Proxy"
"11","Qlik.Logging.Service"
"11","licenses"
"7","Scheduler"
"57","Repository"
"9","dotnet"
"15","Engine"
"30","System"
"64","Idle"
"1","jhi_service"
"2","services"
"4","lsass"
"2","spoolsv"
"13","svchost"
"2","wininit"
"29","node"
"24","Dropbox"
"8","LMS"
"5","residentAgent"
"6","issuser"
"4","vmware-hostd"
"27","postgres"
"20","OUTLOOK"
"46","chrome"
"12","Teams"
"4","nlparser_r"
"6","ptOIEx64"
"18","slack"
"24","atmgr"
"4","dnscrypt-proxy"
"16","TracSrvWrapper"
"8","TrGUI"
"13","inSyncAgent"
"1","SearchUI"
"20","inSync"
"2","OneDrive"
"1","YourPhone"
"20","WinStore.App"
"4","RemoteDesktopManagerFree"
"2","rcgui"
"2","Code"
"8","inSyncUSyncer"
"2","ERCService"
"2","SelfElectController"
"2","CylanceSvc"
"4","slimsvc"
"5","AppleMobileDeviceService"
"2","explorer"
"1","cayley"
"1","ldHPsensors"
"1","ldbattery"
"1","LDDellOMCI"
"1","LDsensors"
"1","LDmemory"
"1","LDdrives"
"1","inSyncUpgrade"
"3","tmcsvc"
"1","collector"
"2","inSyncCPHwnet64"
"3","mDNSResponder"
"2","vmware-authd"
